consumption_date,part_id,part_name,quantity_used,supplier_lead_time_days,part_cost,daily_inventory_holding_cost
2022-01-26,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-01-27,SP-003,Filler Valve O-Ring,1,3,2.5,0.001
2022-01-28,SP-003,Filler Valve O-Ring,5,3,2.5,0.001
2022-01-28,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-01-30,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-01-30,SP-003,Filler Valve O-Ring,1,3,2.5,0.001
2022-01-31,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-01-31,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-02-01,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-02-02,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-02-03,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-02-04,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-02-05,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-02-05,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-02-06,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-02-06,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-02-06,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-02-07,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-02-07,SP-003,Filler Valve O-Ring,5,3,2.5,0.001
2022-02-08,SP-003,Filler Valve O-Ring,1,3,2.5,0.001
2022-02-08,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-02-09,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-02-09,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-02-09,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-02-10,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-02-10,SP-003,Filler Valve O-Ring,5,3,2.5,0.001
2022-02-11,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-02-12,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-02-12,SP-005,Pressure Sensor,3,14,150.0,0.0616
2022-02-13,SP-003,Filler Valve O-Ring,1,3,2.5,0.001
2022-02-13,SP-005,Pressure Sensor,2,14,150.0,0.0616
2022-02-14,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-02-14,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-02-15,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-02-15,SP-003,Filler Valve O-Ring,6,3,2.5,0.001
2022-02-15,SP-005,Pressure Sensor,2,14,150.0,0.0616
2022-02-16,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-02-16,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-02-17,SP-001,Pump Seal Kit,3,7,50.0,0.0205
2022-02-17,SP-003,Filler Valve O-Ring,5,3,2.5,0.001
2022-02-18,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-02-18,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-02-18,SP-003,Filler Valve O-Ring,5,3,2.5,0.001
2022-02-19,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-02-19,SP-003,Filler Valve O-Ring,1,3,2.5,0.001
2022-02-20,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-02-20,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-02-20,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-02-21,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-02-21,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-02-22,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-02-22,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-02-23,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-02-24,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-02-24,SP-003,Filler Valve O-Ring,5,3,2.5,0.001
2022-02-25,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-02-25,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-02-26,SP-001,Pump Seal Kit,4,7,50.0,0.0205
2022-02-26,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-02-26,SP-005,Pressure Sensor,2,14,150.0,0.0616
2022-02-27,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-02-27,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-02-28,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-02-28,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-02-28,SP-003,Filler Valve O-Ring,1,3,2.5,0.001
2022-02-28,SP-004,Motor Gearbox,1,60,2500.0,1.0274
2022-03-01,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-03-01,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-03-02,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-03-03,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-03-03,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-03-03,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-03-04,SP-001,Pump Seal Kit,3,7,50.0,0.0205
2022-03-04,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-03-04,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-03-05,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-03-05,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-03-06,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-03-06,SP-003,Filler Valve O-Ring,7,3,2.5,0.001
2022-03-07,SP-001,Pump Seal Kit,4,7,50.0,0.0205
2022-03-07,SP-003,Filler Valve O-Ring,5,3,2.5,0.001
2022-03-08,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-03-08,SP-003,Filler Valve O-Ring,5,3,2.5,0.001
2022-03-08,SP-004,Motor Gearbox,1,60,2500.0,1.0274
2022-03-09,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-03-09,SP-003,Filler Valve O-Ring,4,3,2.5,0.001
2022-03-10,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-03-10,SP-005,Pressure Sensor,2,14,150.0,0.0616
2022-03-11,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-03-11,SP-003,Filler Valve O-Ring,7,3,2.5,0.001
2022-03-12,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-03-12,SP-003,Filler Valve O-Ring,4,3,2.5,0.001
2022-03-13,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-03-13,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-03-14,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-03-15,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-03-15,SP-003,Filler Valve O-Ring,7,3,2.5,0.001
2022-03-16,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-03-16,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-03-16,SP-004,Motor Gearbox,1,60,2500.0,1.0274
2022-03-16,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-03-17,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-03-17,SP-003,Filler Valve O-Ring,5,3,2.5,0.001
2022-03-17,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-03-18,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-03-18,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-03-19,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-03-19,SP-003,Filler Valve O-Ring,4,3,2.5,0.001
2022-03-20,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-03-20,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-03-21,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-03-21,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-03-21,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-03-22,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-03-23,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-03-23,SP-003,Filler Valve O-Ring,5,3,2.5,0.001
2022-03-24,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-03-24,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-03-24,SP-003,Filler Valve O-Ring,5,3,2.5,0.001
2022-03-25,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-03-25,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-03-25,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-03-26,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-03-26,SP-003,Filler Valve O-Ring,5,3,2.5,0.001
2022-03-27,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-03-27,SP-003,Filler Valve O-Ring,4,3,2.5,0.001
2022-03-28,SP-001,Pump Seal Kit,3,7,50.0,0.0205
2022-03-28,SP-003,Filler Valve O-Ring,7,3,2.5,0.001
2022-03-29,SP-003,Filler Valve O-Ring,4,3,2.5,0.001
2022-03-29,SP-005,Pressure Sensor,2,14,150.0,0.0616
2022-03-30,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-03-30,SP-003,Filler Valve O-Ring,9,3,2.5,0.001
2022-03-31,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-03-31,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-03-31,SP-005,Pressure Sensor,2,14,150.0,0.0616
2022-04-01,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-04-01,SP-003,Filler Valve O-Ring,6,3,2.5,0.001
2022-04-02,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-04-02,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-04-02,SP-003,Filler Valve O-Ring,9,3,2.5,0.001
2022-04-02,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-04-03,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-04-03,SP-003,Filler Valve O-Ring,6,3,2.5,0.001
2022-04-03,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-04-04,SP-001,Pump Seal Kit,5,7,50.0,0.0205
2022-04-04,SP-003,Filler Valve O-Ring,5,3,2.5,0.001
2022-04-05,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-04-05,SP-003,Filler Valve O-Ring,9,3,2.5,0.001
2022-04-06,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-04-06,SP-003,Filler Valve O-Ring,4,3,2.5,0.001
2022-04-06,SP-004,Motor Gearbox,1,60,2500.0,1.0274
2022-04-06,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-04-07,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-04-07,SP-003,Filler Valve O-Ring,7,3,2.5,0.001
2022-04-08,SP-001,Pump Seal Kit,4,7,50.0,0.0205
2022-04-08,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-04-08,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-04-09,SP-001,Pump Seal Kit,3,7,50.0,0.0205
2022-04-09,SP-003,Filler Valve O-Ring,9,3,2.5,0.001
2022-04-10,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-04-10,SP-003,Filler Valve O-Ring,6,3,2.5,0.001
2022-04-11,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-04-11,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-04-11,SP-003,Filler Valve O-Ring,5,3,2.5,0.001
2022-04-12,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-04-12,SP-003,Filler Valve O-Ring,5,3,2.5,0.001
2022-04-13,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-04-13,SP-003,Filler Valve O-Ring,7,3,2.5,0.001
2022-04-14,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-04-14,SP-003,Filler Valve O-Ring,5,3,2.5,0.001
2022-04-14,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-04-15,SP-001,Pump Seal Kit,3,7,50.0,0.0205
2022-04-15,SP-003,Filler Valve O-Ring,4,3,2.5,0.001
2022-04-15,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-04-16,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-04-17,SP-001,Pump Seal Kit,3,7,50.0,0.0205
2022-04-17,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-04-17,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-04-18,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-04-18,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-04-18,SP-003,Filler Valve O-Ring,8,3,2.5,0.001
2022-04-19,SP-001,Pump Seal Kit,4,7,50.0,0.0205
2022-04-19,SP-003,Filler Valve O-Ring,6,3,2.5,0.001
2022-04-19,SP-005,Pressure Sensor,2,14,150.0,0.0616
2022-04-20,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-04-20,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-04-21,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-04-21,SP-003,Filler Valve O-Ring,5,3,2.5,0.001
2022-04-22,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-04-22,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-04-22,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-04-23,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-04-23,SP-003,Filler Valve O-Ring,7,3,2.5,0.001
2022-04-23,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-04-24,SP-001,Pump Seal Kit,3,7,50.0,0.0205
2022-04-24,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-04-24,SP-005,Pressure Sensor,2,14,150.0,0.0616
2022-04-25,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-04-25,SP-003,Filler Valve O-Ring,8,3,2.5,0.001
2022-04-25,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-04-26,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-04-26,SP-003,Filler Valve O-Ring,6,3,2.5,0.001
2022-04-26,SP-005,Pressure Sensor,3,14,150.0,0.0616
2022-04-27,SP-001,Pump Seal Kit,4,7,50.0,0.0205
2022-04-27,SP-003,Filler Valve O-Ring,5,3,2.5,0.001
2022-04-28,SP-003,Filler Valve O-Ring,5,3,2.5,0.001
2022-04-29,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-04-29,SP-003,Filler Valve O-Ring,4,3,2.5,0.001
2022-04-30,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-04-30,SP-003,Filler Valve O-Ring,5,3,2.5,0.001
2022-05-01,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-05-01,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-05-01,SP-003,Filler Valve O-Ring,9,3,2.5,0.001
2022-05-01,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-05-02,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-05-02,SP-003,Filler Valve O-Ring,7,3,2.5,0.001
2022-05-03,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-05-03,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-05-03,SP-003,Filler Valve O-Ring,7,3,2.5,0.001
2022-05-03,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-05-04,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-05-04,SP-003,Filler Valve O-Ring,6,3,2.5,0.001
2022-05-04,SP-005,Pressure Sensor,2,14,150.0,0.0616
2022-05-05,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-05-05,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-05-05,SP-003,Filler Valve O-Ring,5,3,2.5,0.001
2022-05-05,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-05-06,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-05-06,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-05-07,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-05-07,SP-003,Filler Valve O-Ring,9,3,2.5,0.001
2022-05-08,SP-001,Pump Seal Kit,3,7,50.0,0.0205
2022-05-08,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-05-08,SP-003,Filler Valve O-Ring,9,3,2.5,0.001
2022-05-09,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-05-09,SP-003,Filler Valve O-Ring,4,3,2.5,0.001
2022-05-10,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-05-10,SP-003,Filler Valve O-Ring,7,3,2.5,0.001
2022-05-11,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-05-11,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-05-11,SP-005,Pressure Sensor,2,14,150.0,0.0616
2022-05-12,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-05-12,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-05-12,SP-003,Filler Valve O-Ring,5,3,2.5,0.001
2022-05-13,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-05-13,SP-003,Filler Valve O-Ring,4,3,2.5,0.001
2022-05-14,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-05-14,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-05-14,SP-003,Filler Valve O-Ring,4,3,2.5,0.001
2022-05-15,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-05-15,SP-003,Filler Valve O-Ring,5,3,2.5,0.001
2022-05-15,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-05-16,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-05-16,SP-003,Filler Valve O-Ring,7,3,2.5,0.001
2022-05-16,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-05-17,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-05-17,SP-003,Filler Valve O-Ring,6,3,2.5,0.001
2022-05-18,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-05-18,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-05-18,SP-003,Filler Valve O-Ring,6,3,2.5,0.001
2022-05-18,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-05-19,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-05-19,SP-003,Filler Valve O-Ring,4,3,2.5,0.001
2022-05-20,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-05-20,SP-003,Filler Valve O-Ring,9,3,2.5,0.001
2022-05-21,SP-001,Pump Seal Kit,5,7,50.0,0.0205
2022-05-21,SP-003,Filler Valve O-Ring,6,3,2.5,0.001
2022-05-22,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-05-22,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-05-22,SP-003,Filler Valve O-Ring,6,3,2.5,0.001
2022-05-23,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-05-23,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-05-23,SP-003,Filler Valve O-Ring,6,3,2.5,0.001
2022-05-24,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-05-24,SP-003,Filler Valve O-Ring,5,3,2.5,0.001
2022-05-24,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-05-25,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-05-25,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-05-25,SP-003,Filler Valve O-Ring,8,3,2.5,0.001
2022-05-26,SP-001,Pump Seal Kit,3,7,50.0,0.0205
2022-05-26,SP-003,Filler Valve O-Ring,5,3,2.5,0.001
2022-05-26,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-05-27,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-05-27,SP-003,Filler Valve O-Ring,8,3,2.5,0.001
2022-05-27,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-05-28,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-05-28,SP-003,Filler Valve O-Ring,4,3,2.5,0.001
2022-05-28,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-05-29,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-05-29,SP-003,Filler Valve O-Ring,7,3,2.5,0.001
2022-05-30,SP-001,Pump Seal Kit,3,7,50.0,0.0205
2022-05-30,SP-003,Filler Valve O-Ring,4,3,2.5,0.001
2022-05-31,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-05-31,SP-003,Filler Valve O-Ring,6,3,2.5,0.001
2022-06-01,SP-001,Pump Seal Kit,3,7,50.0,0.0205
2022-06-01,SP-003,Filler Valve O-Ring,7,3,2.5,0.001
2022-06-02,SP-001,Pump Seal Kit,4,7,50.0,0.0205
2022-06-02,SP-003,Filler Valve O-Ring,5,3,2.5,0.001
2022-06-02,SP-004,Motor Gearbox,1,60,2500.0,1.0274
2022-06-03,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-06-03,SP-003,Filler Valve O-Ring,7,3,2.5,0.001
2022-06-04,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-06-04,SP-003,Filler Valve O-Ring,8,3,2.5,0.001
2022-06-05,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-06-05,SP-003,Filler Valve O-Ring,7,3,2.5,0.001
2022-06-05,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-06-06,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-06-06,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-06-06,SP-003,Filler Valve O-Ring,7,3,2.5,0.001
2022-06-06,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-06-07,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-06-07,SP-003,Filler Valve O-Ring,7,3,2.5,0.001
2022-06-07,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-06-08,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-06-08,SP-003,Filler Valve O-Ring,4,3,2.5,0.001
2022-06-08,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-06-09,SP-001,Pump Seal Kit,3,7,50.0,0.0205
2022-06-09,SP-002,Conveyor Belt Section,2,30,500.0,0.2055
2022-06-09,SP-003,Filler Valve O-Ring,8,3,2.5,0.001
2022-06-10,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-06-10,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-06-10,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-06-11,SP-001,Pump Seal Kit,3,7,50.0,0.0205
2022-06-11,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-06-11,SP-005,Pressure Sensor,2,14,150.0,0.0616
2022-06-12,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-06-12,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-06-12,SP-005,Pressure Sensor,2,14,150.0,0.0616
2022-06-13,SP-001,Pump Seal Kit,3,7,50.0,0.0205
2022-06-13,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-06-14,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-06-14,SP-003,Filler Valve O-Ring,10,3,2.5,0.001
2022-06-15,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-06-15,SP-003,Filler Valve O-Ring,9,3,2.5,0.001
2022-06-15,SP-005,Pressure Sensor,2,14,150.0,0.0616
2022-06-16,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-06-16,SP-003,Filler Valve O-Ring,4,3,2.5,0.001
2022-06-17,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-06-17,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-06-17,SP-003,Filler Valve O-Ring,7,3,2.5,0.001
2022-06-17,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-06-18,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-06-18,SP-003,Filler Valve O-Ring,9,3,2.5,0.001
2022-06-19,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-06-19,SP-003,Filler Valve O-Ring,8,3,2.5,0.001
2022-06-19,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-06-20,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-06-20,SP-003,Filler Valve O-Ring,4,3,2.5,0.001
